Category,Encoded_Value
883 Police Full Sleeve Solid Men's Jacket,0
"ABEEZ Boys, Men, Girls (Black, Pack of 1)",1
ANAND ARCHIES Girls Flats,2
ANAND ARCHIES Girls Wedges,3
ANASAZI Casual 3/4 Sleeve Solid Women's Top,4
ATV Pouch for Acer Liquid Z330 (STEEL BLUE),5
Abhinl Fashion Cotton Printed Semi-stitched Salw...,6
"Adidas IND PRO THI GUA Thigh Guard (White, Blue,...",7
Ajaero Slim Fit Women's Dark Blue Jeans,8
Amita Home Furnishing Cotton Floral Single Bedsh...,9
Amita Home Furnishing Cotton Printed Single Beds...,10
Anuradha Art Stylish Hair Clip (Black),11
Anuradha Art Stylish Hair Clip (Blue),12
"Areon Luxurious Fragrance Long Lasting Car,Home,...",13
Arial Morris Women Flats,14
Asics Gel-Cumulus 17 Running Shoes,15
Asics Gel-Kayano 22 Running Shoes,16
Attitude Printed Women's Round Neck Black T-Shirt,17
"Auraa Men's, Women's Solid No Show Socks",18
AutoKraftZ Optimum Locking Device For Bajaj Puls...,19
Automation & Robotics,20
Automotive,21
Autoplus M AP15 Arm Sleeve (Black),22
Autoplus M AP18 Arm Sleeve (Black),23
BALAJI EXPORTS Bottled Wine Cooler (9 Bottles),24
BLM Casual Printed Women's Kurti,25
Baby Care,26
"Bags, Wallets & Belts",27
Be 13 Printed Boy's Round Neck T-Shirt (Pack of 2),28
Beauty and Personal Care,29
Behringer Xenyx 502 Analog Sound Mixer,30
Bengal Blooms Rose Artificial Plant  with Pot (3...,31
Bootwale Bellies,32
Boreal Roller Brush,33
Breakbounce Men's Vest,34
BuildTrack PIR Wireless Motion Sensor - One Swit...,35
COIRFIT Single Coir Mattress,36
Cameras & Accessories,37
Camey Men's Quarter Length Socks,38
Car vastra 1pcs Car Vastra Honda Beige Backrest ...,39
Carbanao Chrome Grill Chevrolet Cruze Car Grill ...,40
Cellbazaar Blackberry 8520 WHITE LCD LCD (YIT-562),41
Clickforsign Vehicles parked Illegally will be t...,42
Clothing,43
Clovia Lingerie Set,44
Clovia Women's Full Coverage Bra,45
Clovia Women's Plunge Bra,46
Clovia Women's T-Shirt Bra,47
Computers,48
Corcepts Universal Tablet HD Ultra Clear Transpa...,49
Crafty Hands Kutchchi Mirrorwork Tapestry (Maroon),50
D&D Women Flats,51
Dassler Slim Fit Women's Multicolor Jeans,52
Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle...,53
Disney Printed Baby Boy's Hooded Grey T-Shirt,54
Dolz Slim Fit Fit Women's Brown Jeans,55
Dremel 2615.023.132 Plastic Friction Work Bench ...,56
Dressberry Black Synthetic  Clutch,57
Dressberry Gold Synthetic  Clutch,58
Dressberry Green Synthetic  Clutch,59
Dressberry Orange Synthetic  Clutch,60
E'Hiose Girl's Leggings (Pack of 6),61
EASIES Solid Single Breasted Casual Men's Blazer,62
Escan Lace Up,63
Eternal Gandhi Super Series Crystal Paper Weight...,64
Eyewear,65
FEET FLOW Women Flats,66
FIFO Bottom Women's  Combo,67
Fabpoppy Printed Women's Jumpsuit,68
Favourite BikerZ 3514 RAD air filter Ionic Air F...,69
"Firangi Cotton, Polyester Free Floor Mat Firangi...",70
Fly U Slim Fit Fit Women's Brown Jeans,71
Food & Nutrition,72
Foot Candy Women Flats,73
Footwear,74
Frabjous German silver Rings For Women Alloy Zir...,75
Furniture,76
GALLOWAY skinny Fit Women's Jeans,77
GM Power mate 4 Strip Surge Protector (White),78
Gaming,79
Gking Hand Stiched Steering Cover For Maruti Ert...,80
Gking Hand Stiched Steering Cover For Renault Sc...,81
Glacier Running Shoes,82
HANS Men's Crew Length Socks,83
Health & Personal Care Appliances,84
Himmlisch 20503 Car Bottle Holder (Plastic),85
Home & Kitchen,86
Home Decor & Festive Needs,87
Home Entertainment,88
Home Furnishing,89
Home Improvement,90
Household Supplies,91
INDILEGO Women Flats,92
INKT INKT A5 Wiro Notebook A5 Notebook Ring Boun...,93
INVENTURE RETAIL Nail Cutter,94
Impala Alloy Cufflink (White),95
Indistar Self Design Viscose Women's Stole,96
JUSF2 Black Color Hair Band (Multicolor),97
Jazz Eyewears Over-sized Sunglasses,98
Jewellery,99
"Joyra Heart Sterling Silver Swarovski Crystal, S...",100
Just Wow Women Flats,101
K&P Dr.Ambedkar Large 04 Showpiece  -  19 cm (Po...,102
K&P Lord Ganesha Large 03 Showpiece  -  19 cm (P...,103
"Kalpaveda Copper Bowl (Gold, Pack of 1)",104
Kanvas Bellies,105
Kitchen & Dining,106
Kittens Boys Flats,107
Klaur Melbourne Bellies,108
"Knight Ace Kraasa Sports Running Shoes, Cycling ...",109
Koie  Battery - For Samsung 7562 Premium Quality...,110
"Kombee Girl's Printed Red, Pink Top & Capri Set",111
Kraft Seeds Dill Herb Seed (50 per packet),112
Kraft Seeds Rosemary Herb (Pack Of 5) Seed (75 p...,113
Kraft Seeds Thyme Herbs Seed (200 per packet),114
LGRL Women's Leggings,115
Laser X Checkered Men's Boxer (Pack of 4),116
Leading lady Women's Camisole,117
Legmark Slim Fit Women's Blue Jeans,118
Legmark Slim Fit Women's Light Blue Jeans,119
Libas Printed Women's A-line Kurta,120
Libas Printed Women's Anarkali Kurta,121
Lilliput Top Baby Girl's  Combo,122
Linzina Fashions LIN-HOSS-1.5 Faucet Set,123
Little Stars Girl's A-line Multicolor Dress,124
LondonHouze Printed Women's Round Neck Grey T-Shirt,125
"Lucky Thailand GL/ LG30 Glass (300 ml, Clear, Pa...",126
MASARA Solid Women's Straight Kurta,127
Mast & Harbour Black Synthetic  Clutch,128
Mast & Harbour Gold Synthetic  Clutch,129
Miss Wow Slim Fit Women's Blue Jeans,130
Mobiles & Accessories,131
NEWGEN TECH EO-HS3303 179 Wired Headset (White),132
NEWGEN TECH EO-HS3303 218 Wired Headset (White),133
