product_name,description,product_category_tree,retail_price,discounted_price,brand,clean_product_name,clean_description,main_category,category_encoded
Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Navy, Red, Navy,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTHT_3P_21 In the Box 3 shorts","[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",999.0,379.0,Alisha,alisha solid womens cycling short,key feature alisha solid womens cycling short cotton lycra navy red navyspecifications alisha solid womens cycling short short detail number content sale package pack 3 fabric cotton lycra type cycling short general detail pattern solid ideal womens fabric care gentle machine wash lukewarm water bleach additional detail style code altht3p21 box 3 short,Clothing,43
FabHomeDecor Fabric Double Sofa Bed,"FabHomeDecor Fabric Double Sofa Bed (Finish Color - Leatherette Black Mechanism Type - Pull Out) Price: Rs. 22,646 • Fine deep seating experience • Save Space with the all new click clack Sofa Bed • Easy to fold and vice versa with simple click clack mechanism • Chrome legs with mango wood frame for long term durability • Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience • A double bed that can easily sleep two,Specifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Leatherette Black Mechanism Type - Pull Out) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. In The Box 1 Sofa Bed General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD112 Care Instructions Avoid outdoor use and exposure to water or prolonged moisture, Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, Keep sharp objects away from your sofa, A little tear on the fabric cover may be hard to repair, Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture, Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, Keep sharp objects away from your sofa, A little tear on the fabric cover may be hard to repair, Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres, Try to avoid food and drink spillage of any kind, If spills occur, do not leave unattended, In case of a stain, a water-free fabric cleaner can be used, However, avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour, Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth, A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay, Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you can't reach, it will also make it more durable Finish Type Matte Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Service Type Manufacturer Warranty Warranty Summary 6 Months Domestic Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Dimensions Weight 40 kg Height 838 mm Width 1905 mm Depth 939 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Material & Color Upholstery Color Leatherette Black Primary Color Black Primary Material Fabric Secondary Material Subtype Mango Wood Secondary Material Foam Finish Color Leatherette Black Primary Material Subtype Foam","[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,fabhomedecor fabric double sofa bed,fabhomedecor fabric double sofa bed finish color leatherette black mechanism type pull price r 22646 fine deep seating experience save space new click clack sofa bed easy fold vice versa simple click clack mechanism chrome leg mango wood frame long term durability double cushioned sofa bed provide extra softness make fine seating experience double bed easily sleep twospecifications fabhomedecor fabric double sofa bed finish color leatherette black mechanism type pull installation demo installation demo detail installation demo product done free cost part purchase service partner visit location within 72 business hour delivery product box 1 sofa bed general brand fabhomedecor mattress included delivery condition knock storage included mechanism type pull type sofa bed style contemporary modern filling material microfiber seating capacity 3 seater upholstery type na upholstery included bed size double shape square suitable living room model number fhd112 care instruction avoid outdoor use exposure water prolonged moisture avoid exposure direct heat sunlight cause sofa colour fade keep sharp object away sofa little tear fabric cover may hard repair vacuum sofa periodically soft bristled bruview avoid outdoor use exposure water prolonged moisture avoid exposure direct heat sunlight cause sofa colour fade keep sharp object away sofa little tear fabric cover may hard repair vacuum sofa periodically soft bristled brush attachment lightly brush keep general dirt dust sofa prevent embedding fibre try avoid food drink spillage kind spill occur leave unattended case stain waterfree fabric cleaner used however avoid applying cleaner directly stain cause damage fabric fade colour pour cleaner onto clean cloth test effect hidden area sofa cleaning stain cloth professional scotchguard treatment one easiest effective option protect spill stain keep pet hair bay getting sofa professionally cleaned every 68 month take care nook corner cant reach also make durable finish type matte important note cancellation allowed product 24 hr order booking warranty covered warranty warranty cover kind manufacturing defect concerned product either repaired replaced based discretion service type manufacturer warranty warranty summary 6 month domestic warranty covered warranty warranty cover improper handling dimension weight 40 kg height 838 mm width 1905 mm depth 939 mm disclaimer color product may vary slightly compared picture displayed screen due lighting pixel quality color setting please check product dimension ensure product fit desired location also check product fit throughview color product may vary slightly compared picture displayed screen due lighting pixel quality color setting please check product dimension ensure product fit desired location also check product fit entrance door premise please expect unevenness 5 mm product due difference surface floor level flipkart seller delivering product take type civil work drilling hole wall mount product product assembled case carpentry assembly required case product appears lack shine wiping surface cloth help clear surface dust particle material color upholstery color leatherette black primary color black primary material fabric secondary material subtype mango wood secondary material foam finish color leatherette black primary material subtype foam,Furniture,76
AW Bellies,"Key Features of AW Bellies Sandals Wedges Heel Casuals,AW Bellies Price: Rs. 499 Material: Synthetic Lifestyle: Casual Heel Type: Wedge Warranty Type: Manufacturer Product Warranty against manufacturing defects: 30 days Care instructions: Allow your pair of shoes to air and de-odorize at regular basis; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth; do not use polish or shiner,Specifications of AW Bellies General Ideal For Women Occasion Casual Shoe Details Color Red Outer Material Patent Leather Heel Height 1 inch Number of Contents in Sales Package Pack of 1 In the Box One Pair Of Shoes","[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",999.0,499.0,AW,aw belly,key feature aw belly sandal wedge heel casualsaw belly price r 499 material synthetic lifestyle casual heel type wedge warranty type manufacturer product warranty manufacturing defect 30 day care instruction allow pair shoe air deodorize regular basis use shoe bag prevent stain mildew dust dry dirt surface using clean cloth use polish shinerspecifications aw belly general ideal woman occasion casual shoe detail color red outer material patent leather heel height 1 inch number content sale package pack 1 box one pair shoe,Footwear,74
Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Black, Red,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 2 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTGHT_11 In the Box 2 shorts","[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",699.0,267.0,Alisha,alisha solid womens cycling short,key feature alisha solid womens cycling short cotton lycra black redspecifications alisha solid womens cycling short short detail number content sale package pack 2 fabric cotton lycra type cycling short general detail pattern solid ideal womens fabric care gentle machine wash lukewarm water bleach additional detail style code altght11 box 2 short,Clothing,43
Sicons All Purpose Arnica Dog Shampoo,Specifications of Sicons All Purpose Arnica Dog Shampoo (500 ml) General Pet Type Dog Brand Sicons Quantity 500 ml Model Number SH.DF-14 Type All Purpose Fragrance Arnica Form Factor Liquid In the Box Sales Package Shampoo Sicons Dog Fashion Arnica,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",220.0,210.0,Sicons,sicons purpose arnica dog shampoo,specification sicons purpose arnica dog shampoo 500 ml general pet type dog brand sicons quantity 500 ml model number shdf14 type purpose fragrance arnica form factor liquid box sale package shampoo sicons dog fashion arnica,Pet Supplies,152
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,"Key Features of Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish Crystal  paper weight Product Dimensions :   8cm x  8cm x 5cm A beautiful product Material: Crystal,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish (Set Of 1, Clear) Price: Rs. 430 Your office desk will sparkle and shine when you accent tables with this elegant crystal paper weight. The multifaceted crystal features Gandhiji’s bust and his timeless message – “My life is my message – M.K. Gandhi”. A beautiful product to gift to your near and dear ones in family and Business.,Specifications of Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish (Set Of 1, Clear) General Model Name Gandhi Paper Weight Mark V Dimensions Weight 323 g In the Box Paper Weight Paper Weight Features Paper Weight Material Crystal Paper Weight Finish Silver Finish","[""Eternal Gandhi Super Series Crystal Paper Weight...""]",430.0,430.0,Eternal Gandhi,eternal gandhi super series crystal paper weight silver finish,key feature eternal gandhi super series crystal paper weight silver finish crystal paper weight product dimension 8cm x 8cm x 5cm beautiful product material crystaleternal gandhi super series crystal paper weight silver finish set 1 clear price r 430 office desk sparkle shine accent table elegant crystal paper weight multifaceted crystal feature gandhijis bust timeless message life message mk gandhi beautiful product gift near dear one family businessspecifications eternal gandhi super series crystal paper weight silver finish set 1 clear general model name gandhi paper weight mark v dimension weight 323 g box paper weight paper weight feature paper weight material crystal paper weight finish silver finish,Eternal Gandhi Super Series Crystal Paper Weight...,64
Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Navy, Red, White, Red,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 4 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's In the Box 4 shorts Additional Details Style Code ALTGHT4P_26 Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach","[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",1199.0,479.0,Alisha,alisha solid womens cycling short,key feature alisha solid womens cycling short cotton lycra navy red white redspecifications alisha solid womens cycling short short detail number content sale package pack 4 fabric cotton lycra type cycling short general detail pattern solid ideal womens box 4 short additional detail style code altght4p26 fabric care gentle machine wash lukewarm water bleach,Clothing,43
FabHomeDecor Fabric Double Sofa Bed,"FabHomeDecor Fabric Double Sofa Bed (Finish Color - Brown Mechanism Type - Pull Out) Price: Rs. 22,646 • Fine deep seating experience • Save Space with the all new click clack Sofa Bed • Easy to fold and vice versa with simple click clack mechanism • Chrome legs with mango wood frame for long term durability • Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience • A double bed that can easily sleep two,Specifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Brown Mechanism Type - Pull Out) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. In The Box 1 Sofa Bed General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD107 Care Instructions Avoid outdoor use and exposure to water or prolonged moisture, Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, Keep sharp objects away from your sofa, A little tear on the fabric cover may be hard to repair, Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture, Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade, Keep sharp objects away from your sofa, A little tear on the fabric cover may be hard to repair, Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres, Try to avoid food and drink spillage of any kind, If spills occur, do not leave unattended, In case of a stain, a water-free fabric cleaner can be used, However, avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour, Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth, A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay, Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you can't reach, it will also make it more durable Finish Type Matte Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Service Type Manufacturer Warranty Warranty Summary 6 Months Domestic Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Dimensions Weight 40 kg Height 838 mm Width 1905 mm Depth 939 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Material & Color Upholstery Color Brown Primary Color Brown Primary Material Fabric Secondary Material Subtype Mango Wood Secondary Material Foam Finish Color Brown Primary Material Subtype Foam","[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,fabhomedecor fabric double sofa bed,fabhomedecor fabric double sofa bed finish color brown mechanism type pull price r 22646 fine deep seating experience save space new click clack sofa bed easy fold vice versa simple click clack mechanism chrome leg mango wood frame long term durability double cushioned sofa bed provide extra softness make fine seating experience double bed easily sleep twospecifications fabhomedecor fabric double sofa bed finish color brown mechanism type pull installation demo installation demo detail installation demo product done free cost part purchase service partner visit location within 72 business hour delivery product box 1 sofa bed general brand fabhomedecor mattress included delivery condition knock storage included mechanism type pull type sofa bed style contemporary modern filling material microfiber seating capacity 3 seater upholstery type na upholstery included bed size double shape square suitable living room model number fhd107 care instruction avoid outdoor use exposure water prolonged moisture avoid exposure direct heat sunlight cause sofa colour fade keep sharp object away sofa little tear fabric cover may hard repair vacuum sofa periodically soft bristled bruview avoid outdoor use exposure water prolonged moisture avoid exposure direct heat sunlight cause sofa colour fade keep sharp object away sofa little tear fabric cover may hard repair vacuum sofa periodically soft bristled brush attachment lightly brush keep general dirt dust sofa prevent embedding fibre try avoid food drink spillage kind spill occur leave unattended case stain waterfree fabric cleaner used however avoid applying cleaner directly stain cause damage fabric fade colour pour cleaner onto clean cloth test effect hidden area sofa cleaning stain cloth professional scotchguard treatment one easiest effective option protect spill stain keep pet hair bay getting sofa professionally cleaned every 68 month take care nook corner cant reach also make durable finish type matte important note cancellation allowed product 24 hr order booking warranty covered warranty warranty cover kind manufacturing defect concerned product either repaired replaced based discretion service type manufacturer warranty warranty summary 6 month domestic warranty covered warranty warranty cover improper handling dimension weight 40 kg height 838 mm width 1905 mm depth 939 mm disclaimer color product may vary slightly compared picture displayed screen due lighting pixel quality color setting please check product dimension ensure product fit desired location also check product fit throughview color product may vary slightly compared picture displayed screen due lighting pixel quality color setting please check product dimension ensure product fit desired location also check product fit entrance door premise please expect unevenness 5 mm product due difference surface floor level flipkart seller delivering product take type civil work drilling hole wall mount product product assembled case carpentry assembly required case product appears lack shine wiping surface cloth help clear surface dust particle material color upholstery color brown primary color brown primary material fabric secondary material subtype mango wood secondary material foam finish color brown primary material subtype foam,Furniture,76
"dilli bazaaar Bellies, Corporate Casuals, Casuals","Key Features of dilli bazaaar Bellies, Corporate Casuals, Casuals Material: Fabric Occasion: Ethnic, Casual, Party, Formal Color: Pink Heel Height: 0,Specifications of dilli bazaaar Bellies, Corporate Casuals, Casuals General Occasion Ethnic, Casual, Party, Formal Ideal For Women Shoe Details Weight 200 g (per single Shoe) - Weight of the product may vary depending on size. Heel Height 0 inch Outer Material Fabric Color Pink","[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",699.0,349.0,dilli bazaaar,dilli bazaaar belly corporate casuals casuals,key feature dilli bazaaar belly corporate casuals casuals material fabric occasion ethnic casual party formal color pink heel height 0specifications dilli bazaaar belly corporate casuals casuals general occasion ethnic casual party formal ideal woman shoe detail weight 200 g per single shoe weight product may vary depending size heel height 0 inch outer material fabric color pink,Footwear,74
Alisha Solid Women's Cycling Shorts,"Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra White, Black, Red, Black,Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 4 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach Additional Details Style Code ALTGHT4P_39 In the Box 4 shorts","[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",1199.0,479.0,Alisha,alisha solid womens cycling short,key feature alisha solid womens cycling short cotton lycra white black red blackspecifications alisha solid womens cycling short short detail number content sale package pack 4 fabric cotton lycra type cycling short general detail pattern solid ideal womens fabric care gentle machine wash lukewarm water bleach additional detail style code altght4p39 box 4 short,Clothing,43
